index,username,puzzle,allTbObTee,lastThreeTbObTee,allCbTe,lastThreeCbTe,allC,lastThreeC,allT,lastThreeT,allCbCe,lastThreeCbCe,allTbCe,lastThreeTbCe,allTbCOe,lastThreeTbCOe,allTbObCee,lastThreeTbObCee,allCbTbCee,lastThreeCbTbCee,allTbCObTee,lastThreeTbCObTee,allTbOe,lastThreeTbOe,cogLoad,structureQuits,structureConsectiveQuits,numStmtsInLock,numConstructsInLock,numStmtsAfterLock,numConstructsAfterLock,nestingDepth,unfamMethods,structContent,uniqueStmts,CCnt,CbCeCnt,CbTbCeeCnt,CbTeCnt,TCnt,TbCeCnt,TbCObTeeCnt,TbCOeCnt,TbObCeeCnt,TbObTeeCnt,TbOeCnt,all_cogLoad,str_cogLoadAvg,str_numAttemptsAvg,str_changeInScoreAvg,str_numAttemptsConstructErrorsAvg,str_changeInConstructScoreAvg,str_postRefPlayScore Avg,str_numAttemptsOfdoTogetherRearrangementsAvg,str_numAttemptsOfoneOrZeroInDoTAvg,str_numAttemptsWithoutOrderingBoxAvg,str_constructReverseUsageAvg,str_countsOfPlayConsecutivelyAvg,str_countsOfPlayPuzConsecutivelyAvg,str_countsOfPlayRefConsecutivelyAvg,str_countsOfPlayRatioAvg,str_noRefPlayedBoolean,str_numRepeatedErrorWithInsertionsAvg,str_numCorrectedFirstWrongIndexAvg,str_numReducedFirstWrongIndexAvg,str_numRepeatedFirstWrongStmtAvg,str_numMoveSameStmtConsecutivelyAvg,str_numPlaySameSetAvg,str_numCorrectButNotPlayedAvg,str_numResetAvg,str_numStepsAvg,str_numStepsDecCorrectInOrderingBoxAvg,str_numStepsSeparatedNestsAvg,str_numStmtsInLockAvg,str_numConstructsInLockAvg,str_numStmtsAfterLockAvg,str_numConstructsAfterLockAvg,str_nestingDepthAvg,str_unfamMethodsAvg,str_structContentAvg,str_uniqueStmtsAvg,str_CCntAvg,str_CbCeCntAvg,str_CbTbCeeCntAvg,str_CbTeCntAvg,str_TCntAvg,str_TbCeCntAvg,str_TbCObTeeCntAvg,str_TbCOeCntAvg,str_TbObCeeCntAvg,str_TbObTeeCntAvg,str_TbOeCntAvg,notStr_cogLoadAvg,notStr_numAttemptsAvg,notStr_changeInScoreAvg,notStr_numAttemptsConstructErrorsAvg,notStr_changeInConstructScoreAvg,notStr_postRefPlayScore Avg,notStr_numAttemptsOfdoTogetherRearrangementsAvg,notStr_numAttemptsOfoneOrZeroInDoTAvg,notStr_numAttemptsWithoutOrderingBoxAvg,notStr_constructReverseUsageAvg,notStr_countsOfPlayConsecutivelyAvg,notStr_countsOfPlayPuzConsecutivelyAvg,notStr_countsOfPlayRefConsecutivelyAvg,notStr_countsOfPlayRatioAvg,notStr_noRefPlayedBoolean,notStr_numRepeatedErrorWithInsertionsAvg,notStr_numCorrectedFirstWrongIndexAvg,notStr_numReducedFirstWrongIndexAvg,notStr_numRepeatedFirstWrongStmtAvg,notStr_numMoveSameStmtConsecutivelyAvg,notStr_numPlaySameSetAvg,notStr_numCorrectButNotPlayedAvg,notStr_numResetAvg,notStr_numStepsAvg,notStr_numStepsDecCorrectInOrderingBoxAvg,notStr_numStepsSeparatedNestsAvg,notStr_numStmtsInLockAvg,notStr_numConstructsInLockAvg,notStr_numStmtsAfterLockAvg,notStr_numConstructsAfterLockAvg,notStr_nestingDepthAvg,notStr_unfamMethodsAvg,notStr_structContentAvg,notStr_uniqueStmtsAvg,notStr_CCntAvg,notStr_CbCeCntAvg,notStr_CbTbCeeCntAvg,notStr_CbTeCntAvg,notStr_TCntAvg,notStr_TbCeCntAvg,notStr_TbCObTeeCntAvg,notStr_TbCOeCntAvg,notStr_TbObCeeCntAvg,notStr_TbObTeeCntAvg,notStr_TbOeCntAvg,lastThree_cogLoadAvg,lastThree_numAttemptsAvg,lastThree_changeInScoreAvg,lastThree_numAttemptsConstructErrorsAvg,lastThree_changeInConstructScoreAvg,lastThree_postRefPlayScore Avg,lastThree_numAttemptsOfdoTogetherRearrangementsAvg,lastThree_numAttemptsOfoneOrZeroInDoTAvg,lastThree_numAttemptsWithoutOrderingBoxAvg,lastThree_constructReverseUsageAvg,lastThree_countsOfPlayConsecutivelyAvg,lastThree_countsOfPlayPuzConsecutivelyAvg,lastThree_countsOfPlayRefConsecutivelyAvg,lastThree_countsOfPlayRatioAvg,lastThree_noRefPlayedBoolean,lastThree_numRepeatedErrorWithInsertionsAvg,lastThree_numCorrectedFirstWrongIndexAvg,lastThree_numReducedFirstWrongIndexAvg,lastThree_numRepeatedFirstWrongStmtAvg,lastThree_numMoveSameStmtConsecutivelyAvg,lastThree_numPlaySameSetAvg,lastThree_numCorrectButNotPlayedAvg,lastThree_numResetAvg,lastThree_numStepsAvg,lastThree_numStepsDecCorrectInOrderingBoxAvg,lastThree_numStepsSeparatedNestsAvg,lastThree_numStmtsInLockAvg,lastThree_numConstructsInLockAvg,lastThree_numStmtsAfterLockAvg,lastThree_numConstructsAfterLockAvg,lastThree_nestingDepthAvg,lastThree_unfamMethodsAvg,lastThree_structContentAvg,lastThree_uniqueStmtsAvg,lastThree_CCntAvg,lastThree_CbCeCntAvg,lastThree_CbTbCeeCntAvg,lastThree_CbTeCntAvg,lastThree_TCntAvg,lastThree_TbCeCntAvg,lastThree_TbCObTeeCntAvg,lastThree_TbCOeCntAvg,lastThree_TbObCeeCntAvg,lastThree_TbObTeeCntAvg,lastThree_TbOeCntAvg,last_cogLoadAvg,last_numAttemptsAvg,last_changeInScoreAvg,last_numAttemptsConstructErrorsAvg,last_changeInConstructScoreAvg,last_postRefPlayScore Avg,last_numAttemptsOfdoTogetherRearrangementsAvg,last_numAttemptsOfoneOrZeroInDoTAvg,last_numAttemptsWithoutOrderingBoxAvg,last_constructReverseUsageAvg,last_countsOfPlayConsecutivelyAvg,last_countsOfPlayPuzConsecutivelyAvg,last_countsOfPlayRefConsecutivelyAvg,last_countsOfPlayRatioAvg,last_noRefPlayedBoolean,last_numRepeatedErrorWithInsertionsAvg,last_numCorrectedFirstWrongIndexAvg,last_numReducedFirstWrongIndexAvg,last_numRepeatedFirstWrongStmtAvg,last_numMoveSameStmtConsecutivelyAvg,last_numPlaySameSetAvg,last_numCorrectButNotPlayedAvg,last_numResetAvg,last_numStepsAvg,last_numStepsDecCorrectInOrderingBoxAvg,last_numStepsSeparatedNestsAvg,last_numStmtsInLockAvg,last_numConstructsInLockAvg,last_numStmtsAfterLockAvg,last_numConstructsAfterLockAvg,last_nestingDepthAvg,last_unfamMethodsAvg,last_structContentAvg,last_uniqueStmtsAvg,last_CCntAvg,last_CbCeCntAvg,last_CbTbCeeCntAvg,last_CbTeCntAvg,last_TCntAvg,last_TbCeCntAvg,last_TbCObTeeCntAvg,last_TbCOeCntAvg,last_TbObCeeCntAvg,last_TbObTeeCntAvg,last_TbOeCntAvg
1,cdApril Showers,repeat-ee.lgp,5,5,5,5,5,5,-2,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-4,0,0,0,0,3,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,-0.793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.666666667,4,0.374358974,0,0,0.316239316,0,0,0,0,1.666666667,0,0,0.555555556,1,0,2.666666667,0.333333333,1.666666667,0.666666667,1,0,0,21.33333333,1,0,0,0,7.666666667,2,1,3.333333333,0.333333333,7.333333333,0,0,0,0,1.333333333,0,0,0,0,0,0,-2.666666667,4,0.374358974,0,0,0.316239316,0,0,0,0,1.666666667,0,0,0.555555556,1,0,2.666666667,0.333333333,1.666666667,0.666666667,1,0,0,21.33333333,1,0,0,0,7.666666667,2,1,3.333333333,0.333333333,7.333333333,0,0,0,0,1.333333333,0,0,0,0,0,0,-3,2,0.2,0,0,0.333333333,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,23,1,0,0,0,9,3,1,5,0,9,0,0,0,0,1,0,0,0,0,0,0
2,cdApril Showers,repeat-gg.lgp,5,5,5,5,-4,2,-2,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,0,6,1,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,-0.862068966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.666666667,4,0.374358974,0,0,0.316239316,0,0,0,0,1.666666667,0,0,0.555555556,1,0,2.666666667,0.333333333,1.666666667,0.666666667,1,0,0,24,1,0,0,0,7,2,1,3.333333333,0.333333333,6.666666667,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,-2.666666667,4,0.374358974,0,0,0.316239316,0,0,0,0,1.666666667,0,0,0.555555556,1,0,2.666666667,0.333333333,1.666666667,0.666666667,1,0,0,24,1,0,0,0,7,2,1,3.333333333,0.333333333,6.666666667,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,15,0,0,0,0,3,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0
3,cdApril Showers,repeat-m.lgp,5,5,5,5,-3,-0.666666667,-2,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,0,6,1,1,5,0,6,0,1,0,0,0,0,0,0,0,0,0,-0.913793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.333333333,1.666666667,0.191666667,0,0,0.111111111,0,0,0,0,0,0,0,0.333333333,2,0,1,0,0.333333333,0.333333333,1,0,0,18,1.333333333,0,0,0,6,1.666666667,1,2.666666667,0,6,1,0,0,0,0.333333333,0,0,0,0,0,0,-3.333333333,1.666666667,0.191666667,0,0,0.111111111,0,0,0,0,0,0,0,0.333333333,2,0,1,0,0.333333333,0.333333333,1,0,0,18,1.333333333,0,0,0,6,1.666666667,1,2.666666667,0,6,1,0,0,0,0.333333333,0,0,0,0,0,0,-3,2,0.375,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,16,3,0,0,0,6,1,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0
4,cdApril Showers,repeat-e.lgp,5,5,5,5,-3,-3.333333333,-2,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,0,6,1,1,2,0,6,2,0,0,0,0,0,0,0,0,0,0,-0.965517241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.333333333,1.333333333,0.125,0,0,0.166666667,0,0,0,0,0,0,0,0.333333333,2,0,1,0,0.666666667,0,1,0,0,15,1,0,0,0,5,1,1,2.666666667,0,5,1,0.333333333,0,0,0,0,0,0,0,0,0,-3.333333333,1.333333333,0.125,0,0,0.166666667,0,0,0,0,0,0,0,0.333333333,2,0,1,0,0.666666667,0,1,0,0,15,1,0,0,0,5,1,1,2.666666667,0,5,1,0.333333333,0,0,0,0,0,0,0,0,0,-3,1,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,14,0,0,0,0,6,1,1,5,0,6,0,1,0,0,0,0,0,0,0,0,0
5,cdApril Showers,repeat-a.lgp,5,5,5,5,-3,-3,-2,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-2,0,0,0,0,7,2,1,7,0,7,0,0,0,0,0,0,0,0,1,0,0,-1.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1.333333333,0.125,0,0,0.166666667,0,0,0,0,0,0,0,0.333333333,2,0,1,0,0.666666667,0,1,0,0,14,1,0,0,0,6,1,1,3,0,6,1,0.333333333,0,0,0,0,0,0,0,0,0,-3,1.333333333,0.125,0,0,0.166666667,0,0,0,0,0,0,0,0.333333333,2,0,1,0,0.666666667,0,1,0,0,14,1,0,0,0,6,1,1,3,0,6,1,0.333333333,0,0,0,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,12,0,0,0,0,6,1,1,2,0,6,2,0,0,0,0,0,0,0,0,0,0
6,cdApril Showers,repeat-f.lgp,5,5,5,5,-2,-2.333333333,-2,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-2,0,0,0,0,4,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,-1.051724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.666666667,1,0,0,0,0.166666667,0,0,0,0,0,0,0,0.333333333,2,0,1,0,1,0,1,0,0,12.33333333,0,0,0,0,6.333333333,1.333333333,1,4.666666667,0,6.333333333,0.666666667,0.333333333,0,0,0,0,0,0,0.333333333,0,0,-2.666666667,1,0,0,0,0.166666667,0,0,0,0,0,0,0,0.333333333,2,0,1,0,1,0,1,0,0,12.33333333,0,0,0,0,6.333333333,1.333333333,1,4.666666667,0,6.333333333,0.666666667,0.333333333,0,0,0,0,0,0,0.333333333,0,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,11,0,0,0,0,7,2,1,7,0,7,0,0,0,0,0,0,0,0,1,0,0
7,cdApril Showers,repeat-b.lgp,5,5,5,5,-2,-2,-2,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,0,8,2,1,5,1,7,0,0,0,0,0,0,0,1,0,0,0,-1.086206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.333333333,1.666666667,0.277777778,0,0,0.277777778,0,0,0,0,0.333333333,0,0,0.111111111,2,0,1,0,1,0,1,0,0,17,0,0,0,0,5.666666667,1.333333333,1,3,0.333333333,5,0.666666667,0.333333333,0,0,0,0,0,0,0.333333333,0,0,-2.333333333,1.666666667,0.277777778,0,0,0.277777778,0,0,0,0,0.333333333,0,0,0.111111111,2,0,1,0,1,0,1,0,0,17,0,0,0,0,5.666666667,1.333333333,1,3,0.333333333,5,0.666666667,0.333333333,0,0,0,0,0,0,0.333333333,0,0,-2,3,0.833333333,0,0,0.833333333,0,0,0,0,1,0,0,0.333333333,0,0,1,0,1,0,1,0,0,28,0,0,0,0,4,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0
8,cdApril Showers,repeat-g.lgp,5,5,5,5,-2,-2.666666667,-2,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,0,4,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,-1.137931034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.333333333,1.666666667,0.277777778,0,0,0.416666667,0,0,0,0,0.333333333,0,0,1.444444444,1,0,1,0,1,0,1,0,0,18,0,0,0,0,6.333333333,1.666666667,1,4,0.666666667,5.333333333,0,0.333333333,0,0,0,0,0,0.333333333,0.333333333,0,0,-2.333333333,1.666666667,0.277777778,0,0,0.416666667,0,0,0,0,0.333333333,0,0,1.444444444,1,0,1,0,1,0,1,0,0,18,0,0,0,0,6.333333333,1.666666667,1,4,0.666666667,5.333333333,0,0.333333333,0,0,0,0,0,0.333333333,0.333333333,0,0,-3,1,0,0,0,0.416666667,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,0,15,0,0,0,0,8,2,1,5,1,7,0,0,0,0,0,0,0,1,0,0,0
9,cdApril Showers,repeat-i.lgp,5,5,5,5,-2,-3,-2,-3,-2,-3.333333333,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,1,4,2,2,2,0,4,0,1,0,0,0,0,0,0,0,0,0,-1.482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.333333333,1.666666667,0.125,0,0,0.550925926,0,0,0,0,0.666666667,0,0,1,1,0,1,0,0.666666667,0,1,0,0,8.666666667,0,0,0,0,4.333333333,2,2,2.666666667,0,4.333333333,1,0.333333333,0,0,0,0,0,0,0,0,0,-3.333333333,1.666666667,0.125,0,0,0.550925926,0,0,0,0,0.666666667,0,0,1,1,0,1,0,0.666666667,0,1,0,0,8.666666667,0,0,0,0,4.333333333,2,2,2.666666667,0,4.333333333,1,0.333333333,0,0,0,0,0,0,0,0,0,-4,1,0,0,0,0.875,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,7,0,0,0,0,4,2,2,3,0,4,0,1,0,0,0,0,0,0,0,0,0
10,cdBaby Cub,repeat-e.lgp,5,5,5,5,5,5,-1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,0,6,1,1,2,0,6,2,0,0,0,0,0,0,0,0,0,0,-0.345679012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333,2.333333333,0.222222222,0,0,0.482905983,0,0,0,0,0.333333333,0,0,0.733333333,0,0.333333333,1.333333333,0,0.666666667,0,1,0,0,16,0,0,0,0,8.666666667,2.333333333,1,5.333333333,0.666666667,8,0,0,0,0,0.666666667,0,0,0,0,0,0,-0.333333333,2.333333333,0.222222222,0,0,0.482905983,0,0,0,0,0.333333333,0,0,0.733333333,0,0.333333333,1.333333333,0,0.666666667,0,1,0,0,16,0,0,0,0,8.666666667,2.333333333,1,5.333333333,0.666666667,8,0,0,0,0,0.666666667,0,0,0,0,0,0,1,5,0.666666667,0,0,0.333333333,0,0,0,0,1,0,0,0.2,0,1,2,0,0,0,1,0,0,23,0,0,0,0,9,3,1,5,0,9,0,0,0,0,1,0,0,0,0,0,0
11,cdBaby Cub,repeat-ee.lgp,5,5,5,5,-3,2.333333333,-1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,0,3,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,-0.382716049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2.333333333,0.222222222,0,0,0.277777778,0,0,0,0,0.333333333,0,0,0.4,1,0.333333333,1.333333333,0,0.666666667,0,1,0,0,14.66666667,0,0,0,0,7.666666667,2,1,3.666666667,0.333333333,7.333333333,0.666666667,0,0,0,0.666666667,0,0,0,0,0,0,-1,2.333333333,0.222222222,0,0,0.277777778,0,0,0,0,0.333333333,0,0,0.4,1,0.333333333,1.333333333,0,0.666666667,0,1,0,0,14.66666667,0,0,0,0,7.666666667,2,1,3.666666667,0.333333333,7.333333333,0.666666667,0,0,0,0.666666667,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,8,0,0,0,0,6,1,1,2,0,6,2,0,0,0,0,0,0,0,0,0,0
12,cdBaby Cub,repeat-f.lgp,5,5,5,5,-3,-0.333333333,-1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,0,0,4,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,-0.419753086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.666666667,2.333333333,0.222222222,0,0,0.111111111,0,0,0,0,0.333333333,0,0,0.066666667,2,0.333333333,1.333333333,0,0.666666667,0,1,0,0,12,0,0,0,0,6,1.666666667,1,2.666666667,0,6,1.333333333,0,0,0,0.333333333,0,0,0,0,0,0,-1.666666667,2.333333333,0.222222222,0,0,0.111111111,0,0,0,0,0.333333333,0,0,0.066666667,2,0.333333333,1.333333333,0,0.666666667,0,1,0,0,12,0,0,0,0,6,1.666666667,1,2.666666667,0,6,1.333333333,0,0,0,0.333333333,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,5,0,0,0,0,3,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0
13,cdBaby Cub,repeat-g.lgp,5,5,5,5,-1,-1.666666667,-1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,4,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,-0.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.666666667,2.333333333,0.277777778,0,0,0,0,0,0,0,0.333333333,0,0,0.066666667,2,0,1.666666667,0,1.333333333,0,1,0,0.333333333,11,0,0,0,0,4.333333333,1,1,1,0.333333333,3.666666667,1.333333333,0.333333333,0,0,0,0,0,0,0,0,0,-1.666666667,2.333333333,0.277777778,0,0,0,0,0,0,0,0.333333333,0,0,0.066666667,2,0,1.666666667,0,1.333333333,0,1,0,0.333333333,11,0,0,0,0,4.333333333,1,1,1,0.333333333,3.666666667,1.333333333,0.333333333,0,0,0,0,0,0,0,0,0,1,5,0.833333333,0,0,0,0,0,0,0,1,0,0,0.2,0,0,3,0,2,0,1,0,1,20,0,0,0,0,4,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0
14,cdBaby Cub,repeat-a.lgp,5,5,5,5,-1,0.333333333,-1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,0,7,2,1,7,0,7,0,0,0,0,0,0,0,0,1,0,0,-0.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.666666667,3,0.569444444,0,0,0.125,0,0,0,0,0.666666667,0,0,0.288888889,1,0,2,0,1,0,1,0,0.666666667,12.66666667,0,0,0,0,3.666666667,1.333333333,1,1,0.666666667,2.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0,0,0,-0.666666667,3,0.569444444,0,0,0.125,0,0,0,0,0.666666667,0,0,0.288888889,1,0,2,0,1,0,1,0,0.666666667,12.66666667,0,0,0,0,3.666666667,1.333333333,1,1,0.666666667,2.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0,0,0,0,3,0.875,0,0,0.375,0,0,0,0,1,0,0,0.666666667,0,0,2,0,0,0,1,0,1,13,0,0,0,0,4,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0
15,cdBaby Cub,repeat-b.lgp,5,5,5,5,-1,-2,-1,1,0,0.666666667,5,5,5,5,5,5,5,5,5,5,5,5,-2,0,0,0,0,8,2,1,5,1,7,0,0,0,0,0,0,0,1,0,0,0,-0.419753086,3,8,0.666666667,6,-1,-0.111111111,0,0,0,0,1,0,0,0.125,0,0,3,2,1,0,1,0,0,38,3,0,0,0,5,2,2,3,0,5,1,0,0,0,0,0,0,0,0,0,0,-1.333333333,2.666666667,0.397727273,0.666666667,-0.333333333,0.208333333,0,0,0.666666667,0,0.333333333,0,0,0.194444444,1,0,1.666666667,0.333333333,0.333333333,0.333333333,1,0,0,25,0.333333333,0,0,0,6,2,1.666666667,4,0.333333333,5.666666667,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,0.333333333,0,0.666666667,5,0.619949495,2.666666667,-0.666666667,0.171296296,0,0,0.666666667,0,0.666666667,0,0,0.236111111,0,0,2.333333333,1,0.333333333,0.333333333,1,0,0,34.33333333,1.333333333,0,0,0,5.333333333,2,2,2.666666667,0.333333333,5,0.333333333,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0,3,0.375,2,-1,0.625,0,0,0,0,0,0,0,0.333333333,0,0,1,1,0,1,1,0,0,37,1,0,0,0,4,2,2,1,1,3,0,0,0,1,0,1,0,0,0,0,0
16,cdBaby Cub,repeat-i.lgp,5,5,5,5,-1,-2.333333333,-1,1,0,-1.666666667,5,5,5,5,5,5,5,5,5,5,5,5,-3,0,0,0,1,4,2,2,2,0,4,0,1,0,0,0,0,0,0,0,0,0,-0.50617284,3,8,0.666666667,6,-1,-0.111111111,0,0,0,0,1,0,0,0.125,0,0,3,2,1,0,1,0,0,38,3,0,0,0,5,2,2,3,0,5,1,0,0,0,0,0,0,0,0,0,0,-2.333333333,3.666666667,0.380952381,0.333333333,-0.333333333,0.244047619,0,0,0,0,1.666666667,0,0,0.30952381,1,1,1.666666667,0.333333333,1,0.666666667,1.333333333,0,0,20.33333333,0,0,0,0,5.333333333,2,1.666666667,3.333333333,0.333333333,5,0.666666667,0.333333333,0,0,0,0,0,0.333333333,0,0,0,-2.333333333,3.666666667,0.380952381,0.333333333,-0.333333333,0.244047619,0,0,0,0,1.666666667,0,0,0.30952381,1,1,1.666666667,0.333333333,1,0.666666667,1.333333333,0,0,20.33333333,0,0,0,0,5.333333333,2,1.666666667,3.333333333,0.333333333,5,0.666666667,0.333333333,0,0,0,0,0,0.333333333,0,0,0,-3,2,0.125,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,13,0,0,0,0,4,2,2,3,0,4,0,1,0,0,0,0,0,0,0,0,0
17,cdBaby Cub,integrative-h.lgp,2,1.666666667,-1,-0.333333333,-1,-2.333333333,0,0.333333333,0,-1.666666667,0,-0.333333333,5,5,5,5,5,5,5,5,0,2.333333333,-3,0,0,2,1,7,2,2,2,1,8,0,0,0,0,0,1,0,0,0,0,1,-0.296296296,3.666666667,20,0.553946054,15.66666667,-0.333333333,0.055944056,0.333333333,2.333333333,0,4.333333333,2.666666667,0,0,0.040441176,1,3.666666667,4,1.333333333,4.666666667,1.333333333,1,0,2,76.66666667,3,0,0.666666667,0.666666667,6,2.333333333,3,1.333333333,1,5.666666667,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,-0.666666667,5,0.75434492,0.333333333,-0.666666667,0.493426916,0,0.333333333,0,0,0.666666667,0,0,0.292063492,0,0.666666667,3,0.333333333,1,0,1,0,0,28.66666667,2.333333333,0,0,0.666666667,7.333333333,3,2.666666667,2,1.333333333,6,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0.333333333,-0.666666667,5,0.75434492,0.333333333,-0.666666667,0.493426916,0,0.333333333,0,0,0.666666667,0,0,0.292063492,0,0.666666667,3,0.333333333,1,0,1,0,0,28.66666667,2.333333333,0,0,0.666666667,7.333333333,3,2.666666667,2,1.333333333,6,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0.333333333,-2,5,0.882352941,0,0,0.588235294,0,0,0,0,2,0,0,0.4,0,1,3,0,1,0,1,0,0,31,3,0,0,0,9,4,2,3,2,7,0,0,0,1,0,1,0,0,0,0,0
